name,email,telefon,telefaks,address,webUrl,bookingUrl,mapsUrl
DZ Osječko-baranjske županije - Osijek Novo (DZ OBŽ - Donji Miholjac),narucivanje@dzobz.hr,,,,https://www.dzobz.hr,,
DZ Otočac,centralno.narucivanje@dzotocac.hr,+38553771136,+38553771210,,,,
DZ Splitsko-dalmatinske županije (DZ SDŽ HVAR),tajnica@dz-sdz.hr,+38521481060,+38521481074,,https://www.dz-sdz.hr,,
Dom zdravlja Karlovačke županije,dz-karlovac@ka.htnet.hr,047/411-277,,,,,
ISTARSKI DOMOVI ZDRAVLJA,narucivanje@idz.hr,+38552440080,+38552440080,,https://idz.hr,,
KB Dubrava,narucivanje@kbd.hr,+38512902435,+38512902991,,https://www.kbd.hr,https://bespin.kbd.hr/,
KB Merkur,narucivanje@kb-merkur.hr,+38512253550,,,https://www.kb-merkur.hr,https://www.kb-merkur.hr/centralno-narucivanje/,
KB Sveti Duh,narudzbe@kbsd.hr,+38513712111,+38513712278,,https://www.kbsd.hr,https://www.kbsd.hr/sredisnje-narucivanje-pacijenata/,
KBC Osijek,enarucivanje@kbco.hr,+38531511511,,,https://www.kbco.hr,https://www.kbco.hr/jedinica-za-centralno-narucivanje-pacijenata/,
KBC Rijeka,narucivanje@kbc-rijeka.hr,+38551658888,+38551658898,,https://www.kbc-rijeka.hr,https://kbc-rijeka.hr/narucivanje-pacijenata/,
KBC Sestre milosrdnice (KBC SM VINOGRADSKA),"narucivanje.vinogradska@kbcsm.hr, narucivanje.ilica@kbcsm.hr, narucivanje.draskoviceva@kbcsm.hr",+38513787593,+38513787792,,http://www.kbcsm.hr,https://www.kbcsm.hr/za-pacijente/centralno-narucivanje-pacijenata/,
KBC Split (KBC SPLIT FIRULE),cnarucivanje@kbsplit.hr,"+38521556822,+38521556020",+38521556098,"Spinčićeva 1, 21000 Split Hrvatska",https://kbsplit.hr,https://www.kbsplit.hr/za-pacijente/narucivanje-pacijenata,https://www.google.com/maps/place/spin%C4%8Di%C4%87eva%201%2C%2021000%20split%20hrvatska
KBC Zagreb,bojcen@kbc-zagreb.hr,+38512367720,+38514920216,,https://www.kbc-zagreb.hr,https://www.kbc-zagreb.hr/#,
Klinika Lovran,narucivanje@orto-lovran.hr,+38551710235,+38551710237,,https://www.orto-lovran.hr,,
Klinika Magdalena,narucivanje@magdalena.hr,"+38549244100,+38549244444",+38549244150,,https://magdalena.hr,https://magdalena.hr/narucivanje/,
Klinika Vrapče,narucivanje@bolnica-vrapce.hr,+38513713270,+38513713237,,https://www.bolnica-vrapce.hr,https://bolnica-vrapce.hr/nacini-narucivanja-za-zdravstvene-usluge-u-klinici-za-psihijatriju-vrapce,
Klinika za dječje bolesti Zagreb,kdb.narudzbe@kdb.hr,+38514600156,+38514600161,,,,
Lječilište Topusko,narucivanje@ljeciliste-topusko.hr,+38544886005,+38544886079,,https://www.ljeciliste-topusko.hr,https://www.ljeciliste-topusko.hr/lista-cekanja-1/,
Nacionalna memorijalna bolnica Vukovar,lista-cekanja@ob-vukovar.hr,+38532452060,+38544452060,,https://www.ob-vukovar.hr,https://ob-vukovar.hr/narucivanje-pacijenata-web-narucivanje/,
OB Bjelovar,narucivanje@obbj.hr,+38543279171,+38543279101,,https://www.obbj.hr,https://www.obbj.hr/centralno-narucivanje-pacijenata-liste-cekanja/,
OB Dubrovnik,narucivanje@bolnica-du.hr,+38520431777,+38520426149,,https://www.bolnica-du.hr,https://www.bolnica-du.hr/odjel-za-centralno-narucivanje-i-bolnicku-administraciju/,
OB Karlovac,narucivanje@bolnica-karlovac.hr,+38547608457,+38547608463,"Andrije Štampara 3, 47000 Karlovac",https://www.bolnica-karlovac.hr,https://www.bolnica-karlovac.hr/narucivanje/obrazac-za-narucivanje,https://www.google.com/maps/place/andrije%20%C5%A1tampara%203%2C%2047000%20karlovac
OB Knin,cnp@obhpknin.hr,+38522641155,+38522641166,,https://www.obhpknin.hr,,
OB Koprivnica,e-narucivanje@obkoprivnica.hr,+38548251000,+38548251222,,https://www.obkoprivnica.hr,https://obkoprivnica.hr/centralno-narucivanje/,
OB Nova Gradiška,narucivanje@bolnicang.hr,+38535217911,+38535217932,,https://www.bolnicang.hr,https://www.bolnicang.hr/centralno-narucivanje/,
OB Ogulin,narucivanje@bolnica-ogulin.hr,+38547819788,,,https://www.bolnica-ogulin.hr,https://bolnica-ogulin.hr/wp/centralno-narucivanje/,
OB Pula,narucivanje@obpula.hr,+38552376846,,,https://www.obpula.hr,https://www.obpula.hr/pacijenti-i-posjetitelji/narucivanje/,
OB Sisak,cnp@obs.hr,+38544553344,+38544553345,,https://www.obs.hr,https://obs.hr/wp/2019/06/12/narucivanje-pacijenata/,
OB Slavonski Brod,narpac@bolnicasb.hr,+38535201150,+38535201156,,https://www.bolnicasb.hr,https://www.bolnicasb.hr/vodic-za-pacijente/centralno-narucivanje/,
OB Varaždin,centralno.narucivanje@obv.hr,+38542393508,+38542393389,,https://www.obv.hr,https://www.obv.hr/centralno-narucivanje/,
OB Virovitica,narucivanje@bolnica-virovitica.hr,+38533747255,+38533721086,,https://www.bolnica-virovitica.hr,,
OB Zabok,narucivanje@bolnica-zabok.hr,+38549204600,+38549204609,,https://www.bolnica-zabok.hr,https://bolnica-zabok.hr/narucivanje/,
OB Zadar,listecekanja@bolnica-zadar.hr,+38523505438+38523300177,+38523211586,Bože Peričića 5 23000 Zadar Hrvatska,https://www.bolnica-zadar.hr,https://www.bolnica-zadar.hr/pacijenti-i-posjetitelji/centralno-narucivanje/,https://www.google.com/maps/place/bo%C5%BEe%20peri%C4%8Di%C4%87a%205%2023000%20zadar%20hrvatska
OŽB Našice,narucivanje@obnasice.hr,+38531614620,+38531613826,,https://www.obnasice.hr,https://www.obnasice.hr/index.php/informacije/narucivanje,
OŽB Pakrac,narucivanje@ozbpakrac-bhv.hr,+38534254562,+38534412802,,https://www.ozbpakrac-bhv.hr,https://www.ozbpakrac-bhv.hr/#,
OŽB Požega (LOKACIJA POŽEGA),narucivanje@pozeska-bolnica.hr,+38534254547,+38534254598,,https://www.pozeska-bolnica.hr,https://www.pozeska-bolnica.hr/web-obrazac-za-narucivanje/,
OŽB Vinkovci,lista.cekanja@obvk.hr,+38532349214,+38532349321,,https://www.obvk.hr,https://obvk.hr/centralno-narucivanje/,
SB Biograd na moru,upis.bolnica.biograd@ortopedija-biograd.hr,+38523206062,+38523206097,,https://www.ortopedija-biograd.hr,https://ortopedija-biograd.hr/narucivanje/,
SB Duga Resa,bolnica.dugaresa@gmail.com,+38547819087,+38547844207,,,,
