Id,Naziv
732,24-satna impedanca za djecu
733,24-satna pHmetrija za djecu
1608,AB indeks
861,Abdominalna kirurgija - elektivni zahvati
863,Abdominalna kirurgija - malignomi
862,Abdominalna kirurgija - nemaligne bolesti
791,Adaptometrija
937,Akrilatne grizne ploče 
1230,Akupunktura
16,Alergologija i klinička imunologija - Kontrolni pregled
15,Alergologija i klinička imunologija - Prvi pregled
1389,Alergologija i klinička imunologija - konzultacija bez pacijenta
765,"Alergološki kožni testovi na lijekove, opnokrilce i cijepiva za djecu"
450,Alergotest na alimentarne alergene
763,Alergotest na alimentarne alergene za djecu
449,Alergotest na inhalatorne alergene
764,Alergotest na standardne inhalatorne alergene za djecu
453,Algologija - kontrolni pregled
452,Algologija - prvi pregled
1397,Alkoholizam i druge ovisnosti - konzultacija bez pacijenta
967,Alveotomija
1345,Ambulanta za bol - konzultacije bez pacijenta
1444,Analitička toksikologija - konzultacija bez pacijenta
455,Andrologija - kontrolni pregled
1418,Andrologija - konzultacija bez pacijenta
454,Andrologija - prvi pregled
102,Anesteziologija - Kontrolni pregled
101,Anesteziologija - Prvi pregled
1263,Anesteziologija - konzultacija bez pacijenta
1103,Anesteziologija - ostali postupci
436,Angiolog - kontrolni pregled
435,Angiolog - prvi pregled
736,Anorektalna manometrija za djecu
484,Aortokoronarna venozna premosnica
965,Apikotomija
795,Artroskopija gležnja
487,Artroskopija koljena
798,Artroskopija kuka
797,Artroskopija ramena
796,Artroskopija ručnog zgloba
89,Audiologija - Kontrolni pregled
88,Audiologija - Prvi pregled
1426,Audiologija - konzultacija bez pacijenta
1398,Biologijska psihijatrija - konzultacija bez pacijenta
789,Biometrija
731,Biopsija jetre djece
723,Biopsija kože
710,Bris uretre na HPV virus
738,Bronhoprovokacijski test metakolinom za djecu
575,Bronhoskopija
933,CT abdomena 
932,CT abdomena i zdjelice 
883,CT angiografija abdomena
931,CT angiografija abdominalne aorte
930,CT angiografija abdominalne aorte i zdjeličnih arterija
929,CT angiografija donjih ekstremiteta
928,CT angiografija glave i/ili vrata
927,CT angiografija gornjih ekstremiteta
882,CT angiografija kralježnice
884,CT angiografija prsnog koša
926,CT aorte 
