Id,Naziv
004,Bjelovarsko-bilogorska županija
080,Brodsko-posavska županija
018,Dubrovačko-neretvanska županija
065,Istarska županija
034,Karlovačka županija
037,Koprivničko-križevačka županija
040,Krapinsko-zagorska županija
026,Ličko-senjska županija
010,Međimurska županija
060,Osječko-baranjska županija
079,Požeško-slavonska županija
072,Primorsko-goranska županija
078,Sisačko-moslovačka županija
082,Splitsko-dalmatinska županija
088,Varaždinska županija
091,Virovitičko-podravska županija
090,Vukovarsko-srijemska županija
100,Zadarska županija
114,Zagrebačka županija i Grad Zagreb
083,Šibensko-kninska županija
